Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB00402	EU	StrongBad's Cool Game For Attractive People - Episode 2: StrongBadia The Free	http://zeus.dl.playstation.net/cdn/EP2026/NPEB00402_00/eFONryJqzZwPvbEHfcWRYrwwKdrtYqVolVpxFhYdHhBFSlUMIjetSYbcSAYYaCFG.pkg	76a3b154cc430c474b6a3e485e861fd1	EP2026-NPEB00402_00-HSR102000000GAME	2026-07-01 18:33:06		103149184			Jul 02, 2026
NPEB00404	EU	StrongBad's Cool Game For Attractive People - Episode 3: Baddest of the Bands	http://zeus.dl.playstation.net/cdn/EP2026/NPEB00404_00/cxPjgQGSFjOWUCmqptKPsOjGMeraGTlXJQxIHRpzfYIHEFRhYxpnxQLkBHgsqhbl.pkg	1a7ba6c0330deb197e678d44d1aa28b8	EP2026-NPEB00404_00-HSR103000000GAME	2026-07-01 18:33:06		96298032			Jul 02, 2026
NPJB00514	JP	Super Robot Taisen 	http://zeus.dl.playstation.net/cdn/JP0700/NPJB00514_00/tGFJGkgocbvntcizWGCENiXZiGfxcgzcHkfPniSFfeYfeEswwtQdEdGjUbuwpiDyjaqjaeeNRYKOEJswiLBbroPQGfjJijdJosUhE.pkg	7899f5d0a5df12ed07a1f267a072923f	JP0700-NPJB00514_00-SRWFIRSTDLGPKG00	2026-07-01 18:33:06		202737056			Jul 02, 2026
NPJB00001	JP	TEKKEN 5 DARK RESURRECTION ONLINE	http://zeus.dl.playstation.net/cdn/JP0700/NPJB00001_00/AALmBiJBSHWcU37SY9urbu9KodwmC8e7tqBPGOpGlBrKqrMy00d83SRS8v72ybxIXxrmduvmGyWWkCuOtJHkbiTy6pUCDYS3ns3nR.pkg	9a687d6b03364d6cf5e71bd7f18039c6	JP0700-NPJB00001_00-0000000000010000	2026-07-01 18:33:06		616796944			Jul 02, 2026
NPEB00200	EU	Section 8	http://zeus.dl.playstation.net/cdn/EP2024/NPEB00200_00/oFmyT2ssJA45CKCrWlAAEdfe5mXpAxMnGSGxEmh3qM8DTVpBVGRoIAsbIV5HRN8j41L2JiW0Rfr39hDY7xsaivSxdFuew1wVinxiU.pkg	eeb193017bec0325d11d7c5173e65ccd	EP2024-NPEB00200_00-SECTION8FULLGM01	2026-07-01 18:33:06		3801773296			Jul 02, 2026
NPEB01440	EU	PAC-MAN and the Ghostly Adventures	http://zeus.dl.playstation.net/cdn/EP0700/NPEB01440_00/lCiYGojXSJZvHhFutSsaslJVGjKAUHjcfZhLJsRGWkrIThLBVRaCaqRnqteHPxDD.pkg	dae7670c066adb13422244bfd1ac7767	EP0700-NPEB01440_00-PACMANDIGITAL000	2026-07-01 18:33:06		4082011904			Jul 02, 2026
NPEB02008	EU	Magus	http://zeus.dl.playstation.net/cdn/EP1024/NPEB02008_00/MkGppmGxaULkywzCFgyLGOdNnNBIxiSSfTsbhFInROmastJCoaYRzEijdsKgDMGo.pkg	1eadaddbe82fe667b9206efab78f6600	EP1024-NPEB02008_00-MAGUSHDD00000001	2026-07-01 18:33:06		914748480			Jul 02, 2026
NPEB01112	EU	Fuse	http://zeus.dl.playstation.net/cdn/EP0006/NPEB01112_00/dVjcwmDOmOCkHYdtDqWWflWYzZflEtgSprcquQJFAnYaRfITbNJKetrXbXefNtWe.pkg	d00956aaea33f415abc79b7c21b4d1d4	EP0006-NPEB01112_00-FUSE000NPEB01112	2026-07-01 18:33:06		5214295072			Jul 02, 2026
NPEB01199	EU	Skydive: Proximity Flight	http://zeus.dl.playstation.net/cdn/EP4054/NPEB01199_00/wgHpHXdFYwyCBEQpRgHmFkNRgoayMizOPOPyvZwQAumWtLmfgcXWrTNUhOeKkbWQ.pkg	64cd7e9a34de82e5ba23191aee8c9e88	EP4054-NPEB01199_00-SKYDIVEHDD000000	2026-07-01 18:33:06		780007328			Jul 02, 2026
NPEB01031	EU	Two Worlds II GotY	http://zeus.dl.playstation.net/cdn/EP4007/NPEB01031_00/BtxDzLnCktcZcjDiGFkZxpIQpqZxnWlsuItgXTFxfGnTaxqBvEddZhZUOkauxRzj.pkg	c5bb1628404839a59bcca0d4d70d7c41	EP4007-NPEB01031_00-GOTYHDDGAME00001	2026-07-01 18:33:06		5829122512			Jul 02, 2026
