type	title_id	content_id	name	pkg_url	reason
failed_edat	NPJQ80001	JP9000-NPJQ80001_00-AVATAR1012150004	無限回廊™　プレミアムアバター５	http://zeus.dl.playstation.net/cdn/JP9000/NPJQ80001_00/cLheolgqeJglgdAEzxKyMdznyTAAYItHIvzLUOBqEvUWJdSKStbYtsWAAhmTlwybMhyqYsfOzQRIODpJViEfZdyxAZHrXcubqBbao.pkg	1 EDAT(s) had no PNG
failed_edat	NPJR80002	JP0743-NPJR80002_00-AVATAR2011010002	PixelJunk™ シューター：ヤドキャノン アバター	http://zeus.dl.playstation.net/cdn/JP0743/NPJR80002_00/PibAUdVGauhfEoPgfLLauBXcNOiVwiRvGeqToqHezQaOBgsOrlSARNAijvGBcQDjmVvcpRCaRmrqTjlUGINvHaZTpqhsRpFrQtIoQ.pkg	1 EDAT(s) had no PNG
failed_edat	NPJR80002	JP0743-NPJR80002_00-AVATAR2011010001	PixelJunk™ シューター：1P シップ アバター	http://zeus.dl.playstation.net/cdn/JP0743/NPJR80002_00/TcYxEtBauxhZsUJtfNbqaFZszVeAktTXWdHtWRuWZRYOfonBzSkzGWtiNGciGzTFiLgjOBhINnGNpjjJIpWNJfVhlvwatzgLdQOYl.pkg	1 EDAT(s) had no PNG
failed_edat	NPJR80002	JP0743-NPJR80002_00-AVATAR2011010003	PixelJunk™ シューター：サバイバー アバター	http://zeus.dl.playstation.net/cdn/JP0743/NPJR80002_00/FiHqeGektOfTXKWdgkyAczKMOfhyYAvpGOxItmJmXVDfYaccbPXTFNYFZUKREemxTrMjNGppLTudqmmjiEHtbpWpjUhTZugIORugI.pkg	1 EDAT(s) had no PNG
failed_edat	BCES01007	EP9000-BCES01007_00-AVAKZ3STAHLXXXXX	Stahl Avatar	http://zeus.dl.playstation.net/cdn/EP9000/BCES01007_00/ZgXFFUkunOGPyrJVGlUQxanylRMwQNSEwfWHnRfcJESauQfMfaMDVpdwdOJvpfOc.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01320	EP4067-NPEB01320_00-AVPOPULUSM004126	AVATAR LIFE HAS NO CTRL ALT DEL - BLACK	http://zeus.dl.playstation.net/cdn/EP4067/NPEB01320_00/EP4067-NPEB01320_00-AVPOPULUSM004126_bg_1_dc0dd26b41e77becee5abd1973f4886cad9070a7.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01237	EP0177-NPEB01237_00-AVTHECAVET000006	The Time Traveler Avatar	http://zeus.dl.playstation.net/cdn/EP0177/NPEB01237_00/moFjCCytpvGAOkTuNWFUzDjEHaGhZOHrxkaqvTIbFvTERsEpWjhfydJmnJWmvFQK.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01237	EP0177-NPEB01237_00-AVTHECAVET000007	The Knight Avatar	http://zeus.dl.playstation.net/cdn/EP0177/NPEB01237_00/eyZWtRDCwdKJbYBMDepihwIqVMZZyCrdXjtPexDuWTiUJlYmLHNFhIZJadIPPNnM.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01237	EP0177-NPEB01237_00-AVTHECAVET000008	The Cave Avatar	http://zeus.dl.playstation.net/cdn/EP0177/NPEB01237_00/IcMPVXgYqsUWjNtvGQLLXCBsuHDtObZJwMiEUDdsoyswLDVQbvGTQJxieIaYgPeu.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01270	EP4040-NPEB01270_00-AVTERRARIA000002	The Dryad Avatar	http://zeus.dl.playstation.net/cdn/EP4040/NPEB01270_00/CknkalHKBnbIbaGpugBEBoLCPTWitJwGNQYARsSqieJSrqQvLCuSdCxdHcwNibvW.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01270	EP4040-NPEB01270_00-AVTERRARIA000011	Goblin Scout Avatar	http://zeus.dl.playstation.net/cdn/EP4040/NPEB01270_00/jLnPIucFQpOGFeGJmEXulzPKnpWVFhwFMuHYFQckkODWGMokuLHAwHtvYgUMUIKB.pkg	1 EDAT(s) had no PNG
failed_edat	NPEB01057	EP4364-NPEB01057_00-AVNIKOMAKI000009	LycanShroom	http://zeus.dl.playstation.net/cdn/EP4364/NPEB01057_00/XazgODYDOckFHOVYJEeXukLZmGvJmznGUrcauOeTRDJRKnCyNOPbDMbzarWThEHo.pkg	1 EDAT(s) had no PNG
