# PS3 Classic child content index v1
# I\tTITLE_ID\tFLAGS(D/A/T)
# L\tTITLE_ID\tDLC_NAME\tCONTENT_ID
I	BLUS30036	D
I	BLUS30050	D
I	BLUS30056	D
I	BLUS30057	D
I	BLUS30061	D
I	BLUS30066	D
I	BLUS30072	D
I	BLUS30074	D
I	BLUS30094	D
I	BLUS30125	D
I	BLUS30127	D
I	BLUS30130	D
I	BLUS30144	D
I	BLUS30147	D
I	BLUS30156	D
I	BLUS30160	D
I	BLUS30164	D
I	BLUS30166	DT
I	BLUS30177	D
I	BLUS30179	D
I	BLUS30180	D
I	BLUS30181	DT
I	BLUS30185	D
I	BLUS30190	D
I	BLUS30192	D
I	BLUS30196	D
I	BLUS30201	D
I	BLUS30212	D
I	BLUS30214	D
I	BLUS30244	D
I	BLUS30251	D
I	BLUS30253	D
I	BLUS30258	D
I	BLUS30265	D
I	BLUS30270	DA
I	BLUS30279	D
I	BLUS30281	D
I	BLUS30282	D
I	BLUS30283	D
I	BLUS30292	D
I	BLUS30294	D
I	BLUS30300	D
I	BLUS30306	D
I	BLUS30323	D
I	BLUS30330	D
I	BLUS30335	D
I	BLUS30339	DA
I	BLUS30342	DT
I	BLUS30347	D
I	BLUS30348	D
I	BLUS30359	D
I	BLUS30364	D
I	BLUS30368	D
I	BLUS30377	D
I	BLUS30380	D
I	BLUS30386	D
I	BLUS30391	D
I	BLUS30393	D
I	BLUS30395	D
I	BLUS30398	D
I	BLUS30400	D
I	BLUS30405	D
I	BLUS30407	D
I	BLUS30408	DT
I	BLUS30415	D
I	BLUS30418	DA
I	BLUS30420	D
I	BLUS30431	D
I	BLUS30432	D
I	BLUS30433	D
I	BLUS30434	D
I	BLUS30436	D
I	BLUS30439	DA
I	BLUS30453	DA
I	BLUS30457	D
I	BLUS30458	D
I	BLUS30463	D
I	BLUS30464	D
I	BLUS30476	D
I	BLUS30478	D
I	BLUS30481	D
I	BLUS30485	D
I	BLUS30488	D
I	BLUS30500	D
I	BLUS30501	D
I	BLUS30510	D
I	BLUS30511	D
I	BLUS30515	D
I	BLUS30516	D
I	BLUS30521	D
I	BLUS30522	D
I	BLUS30526	D
I	BLUS30527	D
I	BLUS30530	D
I	BLUS30531	D
I	BLUS30533	D
I	BLUS30534	DT
I	BLUS30535	T
I	BLUS30537	D
I	BLUS30538	DT
I	BLUS30543	D
I	BLUS30547	D
I	BLUS30550	D
I	BLUS30554	D
I	BLUS30557	D
I	BLUS30558	D
I	BLUS30566	D
I	BLUS30569	D
I	BLUS30576	D
I	BLUS30580	D
I	BLUS30585	D
I	BLUS30588	D
I	BLUS30591	D
I	BLUS30597	D
I	BLUS30607	D
I	BLUS30609	D
I	BLUS30612	DT
I	BLUS30613	D
I	BLUS30615	D
I	BLUS30624	D
I	BLUS30626	D
I	BLUS30629	DT
I	BLUS30631	D
I	BLUS30632	D
I	BLUS30639	D
I	BLUS30643	DT
I	BLUS30645	D
I	BLUS30650	D
I	BLUS30651	D
I	BLUS30666	D
I	BLUS30670	D
I	BLUS30681	DT
I	BLUS30686	D
I	BLUS30687	D
I	BLUS30688	D
I	BLUS30690	DA
I	BLUS30697	D
I	BLUS30701	DA
I	BLUS30703	D
I	BLUS30704	D
I	BLUS30707	D
I	BLUS30709	D
I	BLUS30710	D
I	BLUS30720	DA
I	BLUS30721	DA
I	BLUS30722	DA
