# PS3 Classic base game index v1
# G\tTITLE_ID\tNAME\tCONTENT_ID
# A\tTITLE_ID
# D\tTITLE_ID
G	NPUB30021	Wolf of The Battlefield Commando 3	UP0102-NPUB30021_00-COMMANDO90123456
G	NPUB30022	Bionic Commando Rearmed	UP0102-NPUB30022_00-BCRFULL000000000
G	NPUB30023	Fatal Inertia EX	UP0106-NPUB30023_00-FATALINERTIAFULL
G	NPUB30025	NovaStrike	UP2001-NPUB30025_00-NOVASTRIKE000000
G	NPUB30032	Noby Noby Boy	UP0700-NPUB30032_00-NOBYNOBYBOY00100
G	NPUB30033	Age of Booty (App Version 1.02)	UP0102-NPUB30033_00-AGEOFBOOTYDEMO00
G	NPUB30034	Super Street Fighter II HD Remix	UP0102-NPUB30034_00-SUPERSFIGHTER2NA
G	NPUB30035	Supersonic Acrobatic Rocket - Powered Battle Cars	UP2002-NPUB30035_00-SARBATTLECARS001
G	NPUB30036	Mega Man 9	UP0102-NPUB30036_00-INTIRM9E00000000
G	NPUB30039	Soldner-X Himmelssturmer	UP2005-NPUB30039_00-SOLDNERXHIMMLSST
G	NPUB30040	Burnout Paradise - The Ultimate Box	UP0006-NPUB30040_00-BURNOUTPSN000001
G	NPUB30042	Cellfactor Psychokinetic Wars	UP0001-NPUB30042_00-CELLFACTOR000002
G	NPUB30045	Mahjong Tales Ancient Wisdom	UP2004-NPUB30045_00-MAHJONGTALESANWZ
G	NPUB30046	Burn Zombie Burn	UP2007-NPUB30046_00-BZBDSIX000000001
G	NPUB30047	Magic Orbz	UP2004-NPUB30047_00-MAGICBALL0000000
G	NPUB30048	LUMINES Supernova	UP4055-NPUB30048_00-LUMINES000000001
G	NPUB30049	Brain Challenge	UP2006-NPUB30049_00-HDDBOOTONLINE001
G	NPUB30050	Watchmen - The End is Nigh EP1 [Demo]	UP1018-NPUB30050_00-WATCHMENDEMOGAME
G	NPUB30051	Bomberman Ultra	UP0555-NPUB30051_00-BMANTRIALGAME001
G	NPUB30052	Flock	UP0102-NPUB30052_00-GAMEPACKAGE00000
G	NPUB30054	Cuboid	UP2004-NPUB30054_00-CUBOID0000000000
G	NPUB30055	Zen Pinball	UP4042-NPUB30055_00-GZENPINBAL000001
G	NPUB30056	Penny Arcade Adventures On The Rain Slick Precipice of Darkness Episode Two	UP4049-NPUB30056_00-PENNYARCADEADV02
G	NPUB30058	3 on 3 NHL Arcade	UP0006-NPUB30058_00-3ON3NHLARCADE001
G	NPUB30059	Critter Crunch	UP2003-NPUB30059_00-CRITTERCRUNCH000
G	NPUB30060	Worms	UP4064-NPUB30060_00-WORMS00000000001
G	NPUB30061	Comet Crash	UP2009-NPUB30061_00-PELFASTCC0000020
G	NPUB30063	Topatoi	UP4009-NPUB30063_00-TOPATOI000000000
G	NPUB30065	Call of Duty Classic	UP0002-NPUB30065_00-CALLOFDUTYCLSCEN
G	NPUB30066	Diner Dash	UP0555-NPUB30066_00-DDTRIALGAME00001
G	NPUB30068	Marvel Vs Capcom 2	UP0102-NPUB30068_00-MARVELVCAPCOM2FG
